,step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
0,1,3.11709,0.54167,3.28847,0.36364
1,2,3.2391,0.46078,,
2,3,3.24339,0.58333,,
3,4,4.46964,0.41667,,
4,5,3.10036,0.51905,,
5,6,3.21543,0.46429,,
6,7,3.17571,0.52174,,
7,8,3.37909,0.55,,
8,9,2.98069,0.41667,,
9,10,3.12263,0.52273,,
10,11,2.71744,0.59804,,
11,12,2.58423,0.53947,,
12,13,3.31015,0.41667,,
13,14,2.90264,0.55769,,
14,15,2.52576,0.57778,,
15,16,2.67466,0.46296,,
16,17,2.33605,0.44444,,
17,18,2.11798,0.59821,,
18,19,1.90783,0.62698,,
19,20,1.69707,0.56818,,
20,21,1.85193,0.54167,,
21,22,1.28026,0.61111,,
22,23,1.78034,0.47619,,
23,24,1.02827,0.58333,,
24,25,0.96279,0.6627,,
25,26,0.91508,0.55,,
26,27,0.7241,0.55556,,
27,28,0.6171,0.5,,
28,29,0.46782,0.71364,,
29,30,0.30257,0.875,,
30,31,0.29123,0.80208,,
31,32,0.32578,0.74242,,
32,33,0.23085,0.91288,,
33,34,0.3515,0.77451,,
34,35,0.25862,0.80833,,
35,36,0.30207,0.74176,,
36,37,0.28871,0.81319,,
37,38,0.19705,0.77778,,
38,39,0.2389,0.77778,,
39,40,0.17361,0.95455,,
40,41,0.20595,0.86364,,
41,42,0.16214,0.89683,,
42,43,0.27206,0.72619,,
43,44,0.23487,0.7451,,
44,45,0.2005,0.85909,,
45,46,0.19609,0.86607,,
46,47,0.20478,0.79167,,
47,48,0.18375,0.92857,,
48,49,0.16825,0.92857,,
49,50,0.2338,0.79487,,
50,51,0.2043,0.86058,,
51,52,0.1988,0.94118,,
52,53,0.15517,0.96429,,
53,54,0.17801,0.91667,,
54,55,0.17416,0.90417,,
55,56,0.18674,0.93939,,
56,57,0.21907,0.82222,,
57,58,0.19806,0.91667,,
58,59,0.24771,0.91176,,
59,60,0.18717,0.88095,,
60,61,0.21799,0.81364,,
61,62,0.18427,0.91667,,
62,63,0.20907,0.81618,,
63,64,0.31829,0.8,,
64,65,0.19986,0.9375,,
65,66,0.21076,0.875,,
66,67,0.22543,0.875,,
67,68,0.25003,0.91176,,
68,69,0.26485,0.825,,
69,70,0.15645,0.95,,
70,71,0.22908,0.90909,,
71,72,0.22319,0.9,,
72,73,0.17939,0.89011,,
73,74,0.21056,0.90909,,
74,75,0.21714,0.91667,,
75,76,0.18159,0.94118,,
76,77,0.22405,0.76974,,
77,78,0.20583,0.85909,,
78,79,0.18887,0.85909,,
79,80,0.17756,0.92857,,
80,81,0.17134,0.94118,,
81,82,0.23066,0.83333,,
82,83,0.24963,0.71111,,
83,84,0.21171,0.85,,
84,85,0.14303,0.975,,
85,86,0.19987,0.91176,,
86,87,0.20044,0.80909,,
87,88,0.16605,0.90417,,
88,89,0.18198,0.86607,,
89,90,0.22577,0.85,,
90,91,0.23731,0.81319,,
91,92,0.16572,0.90179,,
92,93,0.18386,0.89286,,
93,94,0.18812,0.85,,
94,95,0.20487,0.82143,,
95,96,0.16911,0.95,,
96,97,0.19363,0.85714,,
97,98,0.20605,0.85714,,
98,99,0.22451,0.82212,,
99,100,0.19852,0.86058,,
100,101,0.20309,0.79048,0.17974,0.36364
101,102,0.20951,0.85165,,
102,103,0.20683,0.82197,,
103,104,0.20303,0.81667,,
104,105,0.25944,0.84444,,
105,106,0.19381,0.86607,,
106,107,0.19013,0.89904,,
107,108,0.14766,1.0,,
108,109,0.19016,0.80208,,
109,110,0.21485,0.81667,,
110,111,0.25538,0.83333,,
111,112,0.19598,0.90909,,
112,113,0.25967,0.78788,,
113,114,0.205,0.89524,,
114,115,0.2244,0.83333,,
115,116,0.14607,0.90909,,
116,117,0.16048,0.93333,,
117,118,0.1372,0.95455,,
118,119,0.21622,0.85714,,
119,120,0.22806,0.8,,
120,121,0.33259,0.66667,,
121,122,0.18697,0.90625,,
122,123,0.18248,0.94118,,
123,124,0.20637,0.81364,,
124,125,0.20541,0.85455,,
125,126,0.15573,0.95833,,
126,127,0.23467,0.76389,,
127,128,0.22086,0.78571,,
128,129,0.21335,0.85185,,
129,130,0.24135,0.8,,
130,131,0.16882,0.96875,,
131,132,0.20867,0.81364,,
132,133,0.22974,0.79048,,
133,134,0.21835,0.81818,,
134,135,0.22937,0.7803,,
135,136,0.20804,0.86364,,
136,137,0.2352,0.80952,,
137,138,0.17241,0.90455,,
138,139,0.24052,0.75,,
139,140,0.23681,0.78571,,
140,141,0.18862,0.86364,,
141,142,0.1914,0.76786,,
142,143,0.20434,0.89899,,
143,144,0.17465,0.90179,,
144,145,0.1753,0.87121,,
145,146,0.16659,0.93333,,
146,147,0.21043,0.85455,,
147,148,0.21573,0.8,,
148,149,0.22457,0.76667,,
149,150,0.1171,1.0,,
150,151,0.28833,0.73333,,
151,152,0.12081,1.0,,
152,153,0.23324,0.74747,,
153,154,0.28476,0.7619,,
154,155,0.22535,0.7451,,
155,156,0.18277,0.89286,,
156,157,0.20518,0.83333,,
157,158,0.21101,0.82857,,
158,159,0.21294,0.81364,,
159,160,0.18134,0.83482,,
160,161,0.20191,0.9375,,
161,162,0.18777,0.90179,,
162,163,0.19347,0.76786,,
163,164,0.2046,0.8,,
164,165,0.20045,0.775,,
165,166,0.18464,0.82609,,
166,167,0.18069,0.87083,,
167,168,0.19901,0.89177,,
168,169,0.20419,0.85859,,
169,170,0.20247,0.85455,,
170,171,0.09956,1.0,,
171,172,0.17471,0.85859,,
172,173,0.24058,0.85455,,
173,174,0.2383,0.85714,,
174,175,0.23063,0.85455,,
175,176,0.31774,0.71795,,
176,177,0.18246,0.92857,,
177,178,0.18905,0.8,,
178,179,0.20177,0.85455,,
179,180,0.26058,0.73333,,
180,181,0.21284,0.85354,,
181,182,0.19656,0.89474,,
182,183,0.22493,0.9,,
183,184,0.22536,0.82857,,
